STATION,NAME,DATE,TMAX,TMIN,WESD,WESF
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-22,66,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-23,63,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-24,65,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-25,62,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-26,64,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-27,68,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-28,67,54,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-29,68,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-11-30,70,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-01,73,55,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-02,67,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-03,56,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-04,59,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-05,59,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-06,52,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-07,61,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-08,55,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-09,57,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-10,56,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-11,58,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-12,53,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-13,60,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-14,51,43,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-15,54,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-16,56,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-17,54,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-18,52,42,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-19,50,43,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-20,54,45,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-21,53,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-22,53,46,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-23,57,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-24,54,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-25,53,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-26,50,43,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-27,51,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-28,48,43,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-29,49,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-30,53,42,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-12-31,53,42,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-01,52,42,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-02,53,40,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-03,55,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-04,57,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-05,57,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-06,55,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-07,55,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-08,55,45,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-09,58,46,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-10,63,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-11,63,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-12,62,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-13,61,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-14,64,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-15,63,50,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-16,60,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-17,62,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-18,57,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-19,60,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-20,63,46,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-21,67,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-22,67,54,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-23,65,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-24,60,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-25,56,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-26,61,46,,
